사진번호,파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%),라벨4,확률4(%),라벨5,확률5(%)
1,갈비_골목갈비_1838.jpg,arcade,21.99,street,10.77,downtown,10.72,bazaar/indoor,10.46,bazaar/outdoor,10.35
2,갈비_초량골목갈비_1806.jpg,bakery/shop,81.14,butchers_shop,3.89,delicatessen,3.42,catacomb,2.37,candy_store,1.48
3,갈비_초량골목갈비_1807.jpg,catacomb,68.5,archaelogical_excavation,7.75,bakery/shop,5.22,butchers_shop,2.35,trench,2.26
4,갈비_초량골목갈비_1808.jpg,bakery/shop,80.04,butchers_shop,8.35,delicatessen,6.13,pizzeria,1.18,candy_store,0.63
5,갤러리카페_스타파이브_1066.jpg,restaurant_patio,11.36,diner/outdoor,11.32,parking_garage/outdoor,9.93,staircase,8.82,mezzanine,7.41
6,"고궁,궁_경복궁_241.jpg",pagoda,43.34,temple/asia,34.96,palace,8.31,mausoleum,2.17,ski_resort,2.02
7,"고궁,궁_경희궁_264.jpg",palace,33.74,temple/asia,21.35,pagoda,9.3,building_facade,5.85,museum/outdoor,5.38
8,"고궁,궁_경희궁_266.jpg",valley,23.13,mountain,19.64,rice_paddy,8.13,balcony/interior,4.36,village,4.12
9,"고궁,궁_용흥궁_1241.jpg",staircase,17.15,stable,13.3,courtyard,9.55,medina,7.05,bank_vault,6.81
10,"고궁,궁_용흥궁_1242.jpg",temple/asia,59.56,pagoda,10.11,zen_garden,7.69,pavilion,5.41,chalet,4.36
11,"고궁,궁_용흥궁_1243.jpg",burial_chamber,33.5,jail_cell,16.51,alcove,14.1,bank_vault,5.68,catacomb,2.93
12,"고궁,궁_운현궁_267.jpg",zen_garden,33.22,temple/asia,29.47,courtyard,27.93,pagoda,3.16,hunting_lodge/outdoor,1.59
13,"고궁,궁_운현궁_268.jpg",building_facade,17.45,temple/asia,9.21,museum/outdoor,6.81,library/outdoor,6.61,pagoda,5.15
14,"고궁,궁_운현궁_269.jpg",shopfront,14.87,temple/asia,13.13,ticket_booth,12.84,pharmacy,10.74,pagoda,4.25
15,"고궁,궁_창덕궁_244.jpg",palace,33.22,temple/asia,29.43,pagoda,19.76,building_facade,6.16,mausoleum,2.38
16,"고궁,궁_창덕궁_246.jpg",temple/asia,17.42,palace,12.24,pagoda,11.81,building_facade,7.78,hotel/outdoor,4.78
17,"고궁,궁_화성행궁_759.jpg",temple/asia,59.16,pagoda,20.25,ticket_booth,14.01,pavilion,1.85,general_store/outdoor,1.01
18,공원_동탄호수공원_629.jpg,skyscraper,22.54,downtown,19.6,lake/natural,8.1,canal/natural,7.27,river,6.25
19,공원_동탄호수공원_630.jpg,park,15.56,museum/outdoor,11.69,topiary_garden,9.15,botanical_garden,7.22,amusement_park,5.13
20,공원_동탄호수공원_631.jpg,downtown,26.5,skyscraper,23.23,canal/urban,17.12,bridge,5.28,roof_garden,3.91
21,공원_동호수어린이공원_133.jpg,field/cultivated,80.54,vineyard,6.65,farm,3.2,field_road,2.45,viaduct,0.93
22,공원_동호수어린이공원_134.jpg,zen_garden,34.07,pond,7.84,fishpond,7.69,japanese_garden,7.36,roof_garden,5.1
23,공원_동호수어린이공원_135.jpg,airport_terminal,27.43,lobby,24.81,entrance_hall,6.58,swimming_pool/indoor,5.07,bow_window/indoor,4.94
24,공원_왕송호수공원_662.jpg,park,58.91,picnic_area,8.0,boardwalk,7.79,botanical_garden,5.7,rope_bridge,3.68
25,공원_은계호수공원_646.jpg,bridge,39.66,viaduct,8.66,highway,4.67,amphitheater,3.45,staircase,2.45
26,공원_인천대공원 수목원길_1092.jpg,rainforest,44.47,forest/broadleaf,28.2,botanical_garden,11.7,orchard,4.0,tree_house,3.58
27,공원_인천대공원 수목원길_1093.jpg,forest/broadleaf,42.61,botanical_garden,25.69,japanese_garden,10.89,orchard,6.74,rainforest,4.9
28,공원_인천대공원 수목원길_1094.jpg,bamboo_forest,50.21,rainforest,14.43,forest/broadleaf,3.35,orchard,3.15,forest_path,2.34
29,국수_국수골목 계양점_1361.jpg,butchers_shop,99.99,delicatessen,0.0,supermarket,0.0,market/indoor,0.0,pizzeria,0.0
30,국수_국수골목 계양점_1362.jpg,bakery/shop,52.77,delicatessen,14.28,restaurant_kitchen,8.2,restaurant,6.46,cafeteria,2.37
31,국수_국수골목 계양점_1363.jpg,bakery/shop,38.39,market/outdoor,34.63,delicatessen,8.16,supermarket,6.3,fastfood_restaurant,3.74
32,국수_국수골목 연수점_1379.jpg,delicatessen,56.1,bakery/shop,19.88,restaurant,8.94,fastfood_restaurant,3.06,ice_cream_parlor,2.09
33,국수_국수골목 연수점_1380.jpg,shopfront,79.39,diner/outdoor,3.14,pharmacy,2.71,coffee_shop,1.75,general_store/outdoor,1.75
34,국수_국수골목 연수점_1381.jpg,ice_cream_parlor,48.96,delicatessen,30.61,bakery/shop,12.21,restaurant,1.79,coffee_shop,1.35
35,냉면_개롱골목냉면_393.jpg,delicatessen,53.44,restaurant,19.56,fastfood_restaurant,4.55,ice_cream_parlor,4.09,bakery/shop,4.02
