파일명,라벨1,확률1(%),라벨2,확률2(%),라벨3,확률3(%)
갈비_골목갈비_1838.jpg,An image of vibrant downtown shops and cafes.,46.75,A photo of a bustling street with busy traffic.,23.25,An image of a narrow street with colorful storefronts.,18.02
갈비_초량골목갈비_1806.jpg,an image of a delicatessen offering artisanal breads and pastries,50.2,a photo of a charming bakery shop with a pastry counter,18.21,a photo of a cozy bakery shop with fresh pastries,12.83
갈비_초량골목갈비_1807.jpg,a photo of bread loaves in a rustic bakery shop,35.47,a photo of a charming bakery shop with a pastry counter,23.48,a photo of a cozy bakery shop with fresh pastries,20.38
갈비_초량골목갈비_1808.jpg,an image of a delicatessen offering artisanal breads and pastries,31.26,An image of a butcher's shop displaying various meats.,13.39,a photo of a delicatessen with assorted cured meats,12.52
갤러리카페_스타파이브_1066.jpg,An image of diners enjoying a sunny restaurant patio.,53.22,a photo of an outdoor diner bustling with activity,16.12,a photo of diners enjoying meals under the open sky,9.82
"고궁,궁_경복궁_241.jpg",A photo of an ancient temple nestled in an Asian landscape.,43.63,A photo of a peaceful temple courtyard in Asia.,13.3,a photo of a historic palace with ornate stone carvings,9.69
"고궁,궁_경희궁_264.jpg",A photo of a peaceful temple courtyard in Asia.,43.58,a photo of a grand palace surrounded by gardens,20.07,a photo of a pagoda with intricate roof designs,8.93
"고궁,궁_경희궁_266.jpg",an image of a towering mountain surrounded by lush forests,44.29,an image of misty mountains with dramatic peaks and valleys,16.5,a photo of a lush valley surrounded by mountains,13.66
"고궁,궁_용흥궁_1241.jpg",an image of a stable with open doors,81.51,a photo of a stable with wooden beams,14.35,a photo of a serene courtyard with blooming flowers,1.4
"고궁,궁_용흥궁_1242.jpg",a photo of a pagoda with intricate roof designs,51.89,A photo of a peaceful temple courtyard in Asia.,29.68,a photo of a serene pagoda surrounded by trees,5.47
"고궁,궁_용흥궁_1243.jpg",A photo of an ancient burial chamber with stone walls.,71.12,A photo of an underground burial chamber with intricate carvings.,5.95,An image of a burial chamber featuring historical relics and artifacts.,5.44
"고궁,궁_운현궁_267.jpg",A photo of a peaceful temple courtyard in Asia.,67.83,an image of a tranquil zen garden featuring stone lanterns,13.42,a photo of a quiet courtyard with decorative fountains,4.75
"고궁,궁_운현궁_268.jpg",A photo of a peaceful temple courtyard in Asia.,55.3,A photo of a building facade featuring intricate stone carvings.,17.98,A photo of an ancient temple nestled in an Asian landscape.,10.82
"고궁,궁_운현궁_269.jpg",A photo of a peaceful temple courtyard in Asia.,50.54,A photo of a modern ticket booth with digital screens.,16.06,A photo of an ancient temple nestled in an Asian landscape.,10.81
"고궁,궁_창덕궁_244.jpg",a photo of a pagoda with intricate roof designs,38.25,A photo of a peaceful temple courtyard in Asia.,25.0,a photo of a grand palace surrounded by gardens,13.16
"고궁,궁_창덕궁_246.jpg",a photo of a grand palace surrounded by gardens,48.76,a photo of a historic palace with ornate stone carvings,26.71,a photo of a pagoda with intricate roof designs,15.37
