ID,Category,Label
0,Beach / Ocean / Coast,a busy ocean full of people
1,Beach / Ocean / Coast,a peaceful surf near the cliff
2,Beach / Ocean / Coast,people relaxing at the ocean
3,Beach / Ocean / Coast,a busy ocean full of people
4,Beach / Ocean / Coast,a photographer capturing the cliff
5,Beach / Ocean / Coast,a busy sunset full of people
6,Beach / Ocean / Coast,a scenic boats at dawn
7,Beach / Ocean / Coast,a sand with colorful lights
8,Beach / Ocean / Coast,an evening at the beach
9,Beach / Ocean / Coast,a misty morning at the ocean
10,Beach / Ocean / Coast,a photographer capturing the waves
11,Beach / Ocean / Coast,a lighthouse by the boats
12,Beach / Ocean / Coast,a harbor by the surf
13,Beach / Ocean / Coast,a waves with colorful lights
14,Beach / Ocean / Coast,a sunset view over the waves
15,Beach / Ocean / Coast,a couple walking near the seaside
16,Beach / Ocean / Coast,a busy boats full of people
17,Beach / Ocean / Coast,a waves by the boats
18,Beach / Ocean / Coast,an evening at the surf
19,Beach / Ocean / Coast,locals gathering at the seaside
20,Beach / Ocean / Coast,a cozy pier beside the beach
21,Beach / Ocean / Coast,a sunset reflected in water
22,Beach / Ocean / Coast,a sunset view over the lighthouse
23,Beach / Ocean / Coast,a island with colorful lights
24,Beach / Ocean / Coast,a misty morning at the surf
25,Beach / Ocean / Coast,a cozy island beside the waves
26,Beach / Ocean / Coast,a busy pier full of people
27,Beach / Ocean / Coast,a night view of the shore
28,Beach / Ocean / Coast,a tourist visiting the sand
29,Beach / Ocean / Coast,a misty morning at the seaside
30,Beach / Ocean / Coast,a couple walking near the lighthouse
31,Beach / Ocean / Coast,a quiet ocean during sunset
32,Beach / Ocean / Coast,a peaceful pier near the island
33,Beach / Ocean / Coast,a coast surrounded by cliff
34,Beach / Ocean / Coast,a tourist visiting the beach
35,Beach / Ocean / Coast,a busy ocean full of people
36,Beach / Ocean / Coast,a photographer capturing the cliff
37,Beach / Ocean / Coast,a night view of the seaside
38,Beach / Ocean / Coast,a coast reflected in water
39,Beach / Ocean / Coast,people relaxing at the pier
40,Beach / Ocean / Coast,children playing near the coast
41,Beach / Ocean / Coast,a harbor surrounded by beach
42,Beach / Ocean / Coast,people relaxing at the island
43,Beach / Ocean / Coast,a night view of the surf
44,Beach / Ocean / Coast,a seaside reflected in water
45,Beach / Ocean / Coast,a couple walking near the sunset
46,Beach / Ocean / Coast,a beautiful waves under the sky
47,Beach / Ocean / Coast,a quiet surf during sunset
48,Beach / Ocean / Coast,a scenic shore at dawn
49,Beach / Ocean / Coast,a quiet coast during sunset
50,Beach / Ocean / Coast,a sunset with colorful lights
51,Beach / Ocean / Coast,locals gathering at the beach
52,Beach / Ocean / Coast,a scenic shore at dawn
53,Beach / Ocean / Coast,a sand with colorful lights
54,Beach / Ocean / Coast,a night view of the beach
55,Beach / Ocean / Coast,a tourist visiting the shore
56,Beach / Ocean / Coast,a misty morning at the pier
57,Beach / Ocean / Coast,a night view of the surf
58,Beach / Ocean / Coast,a seaside by the waves
59,Beach / Ocean / Coast,children playing near the ocean
60,Mountain / Forest / Nature,a beautiful river under the sky
61,Mountain / Forest / Nature,an evening at the peak
62,Mountain / Forest / Nature,a valley surrounded by hill
63,Mountain / Forest / Nature,a peaceful wildflowers near the valley
64,Mountain / Forest / Nature,people relaxing at the sunrise
65,Mountain / Forest / Nature,a peaceful path near the wildflowers
66,Mountain / Forest / Nature,a beautiful stream under the sky
67,Mountain / Forest / Nature,a peak with colorful lights
68,Mountain / Forest / Nature,a photographer capturing the path
69,Mountain / Forest / Nature,locals gathering at the wildflowers
70,Mountain / Forest / Nature,an evening at the trail
71,Mountain / Forest / Nature,a cozy camp beside the lake
72,Mountain / Forest / Nature,people relaxing at the path
73,Mountain / Forest / Nature,locals gathering at the valley
74,Mountain / Forest / Nature,a trail reflected in water
75,Mountain / Forest / Nature,a sunrise with colorful lights
76,Mountain / Forest / Nature,a tourist visiting the trail
77,Mountain / Forest / Nature,a beautiful path under the sky
78,Mountain / Forest / Nature,people relaxing at the hill
79,Mountain / Forest / Nature,a river by the valley
80,Mountain / Forest / Nature,a cozy forest beside the mountain
81,Mountain / Forest / Nature,a stream with colorful lights
82,Mountain / Forest / Nature,a scenic forest at dawn
83,Mountain / Forest / Nature,a sunset view over the sunrise
84,Mountain / Forest / Nature,a cozy sunrise beside the lake
85,Mountain / Forest / Nature,a wildflowers with colorful lights
86,Mountain / Forest / Nature,a scenic river at dawn
87,Mountain / Forest / Nature,a path with colorful lights
88,Mountain / Forest / Nature,a quiet cabin during sunset
89,Mountain / Forest / Nature,a photographer capturing the valley
90,Mountain / Forest / Nature,a quiet forest during sunset
