파일명,소분류1,확률1(%),소분류2,확률2(%),소분류3,확률3(%)
갈비_골목갈비_1838.jpg,street view with distant mountains,36.06,bustling market street at dawn,21.69,Night lights illuminating storefront,18.82
갈비_초량골목갈비_1806.jpg,charming cobblestone street to bakery,43.26,vintage bakery window display,14.81,bakery nestled in snowy village,11.58
갈비_초량골목갈비_1807.jpg,charming cobblestone street to bakery,69.49,bakery nestled in snowy village,11.7,bakery courtyard with rustic charm,4.35
갈비_초량골목갈비_1808.jpg,charming cobblestone street to bakery,55.0,bakery courtyard with rustic charm,12.7,Seasonal produce in abundance,12.41
갤러리카페_스타파이브_1066.jpg,theater exterior with grand entrance,73.05,theater balcony overlooking the street,12.59,retro cinema facade,2.75
"고궁,궁_경복궁_241.jpg",historic pavilion with mountain backdrop,40.15,historic pavilion with mountain backdrop,40.15,Temple courtyard surrounded by gardens,12.68
"고궁,궁_경희궁_264.jpg",Temple courtyard surrounded by gardens,39.77,traditional rooftops against clear sky,9.62,traditional rooftops against clear sky,9.62
"고궁,궁_경희궁_266.jpg",Roller coaster with mountain backdrop,65.42,historic pavilion with mountain backdrop,22.34,Butterflies fluttering over flowers,2.58
"고궁,궁_용흥궁_1241.jpg",Temple entrance with ornate details,66.93,Temple courtyard surrounded by gardens,10.27,Historic architecture in museum courtyard,6.76
"고궁,궁_용흥궁_1242.jpg",Temple courtyard surrounded by gardens,38.43,Temple facade with intricate carvings,17.94,historic pavilion with mountain backdrop,10.79
"고궁,궁_용흥궁_1243.jpg",Historic architecture in museum courtyard,42.26,Quiet museum courtyard nooks,21.93,fountain with ornate stone carvings,11.31
"고궁,궁_운현궁_267.jpg",Temple courtyard surrounded by gardens,95.58,Historic architecture in museum courtyard,2.15,Quiet museum courtyard nooks,0.75
"고궁,궁_운현궁_268.jpg",Temple facade with intricate carvings,27.92,Temple entrance with ornate details,23.46,Temple courtyard surrounded by gardens,17.3
"고궁,궁_운현궁_269.jpg",Temple entrance with ornate details,43.6,Temple courtyard surrounded by gardens,19.06,historic pavilion with mountain backdrop,12.42
"고궁,궁_창덕궁_244.jpg",Temple courtyard surrounded by gardens,62.74,Temple facade with intricate carvings,12.58,Temple entrance with ornate details,10.22
"고궁,궁_창덕궁_246.jpg",Historic murals on palace walls,29.04,traditional rooftops against clear sky,22.5,traditional rooftops against clear sky,22.5
"고궁,궁_화성행궁_759.jpg",Temple entrance with ornate details,37.19,Temple courtyard surrounded by gardens,29.29,Majestic entrance gates with arches,10.5
공원_동탄호수공원_629.jpg,Sculptured topiary under clear sky,47.93,mist rising from river valley,8.18,Reflection in garden pond,7.4
공원_동탄호수공원_630.jpg,fountain surrounded by urban skyline,57.85,fountain with ornate stone carvings,11.96,fountain with vibrant flowers surrounding,8.12
공원_동탄호수공원_631.jpg,sailboats against vibrant skyline,63.09,reflections in serene palace pond,15.6,calm reflections on river surface,5.9
공원_동호수어린이공원_133.jpg,wildflowers lining the trail path,42.56,Butterflies fluttering over flowers,29.13,Vibrant garden surrounding stone tower,17.84
공원_동호수어린이공원_134.jpg,Temple reflected in serene pond,80.08,Temple courtyard surrounded by gardens,8.72,reflections in serene palace pond,4.15
공원_동호수어린이공원_135.jpg,reflections in serene palace pond,56.57,historic pavilion with mountain backdrop,20.7,Scenic view from restaurant balcony,8.53
공원_왕송호수공원_662.jpg,stream flowing through lush forest,23.61,trail winding through pine forest,22.47,forest path with fallen leaves,22.06
공원_은계호수공원_646.jpg,bridge arching over flowing river,69.63,stadium lights illuminate night sky,14.13,stadium arches in morning mist,5.99
공원_인천대공원 수목원길_1092.jpg,trail winding through pine forest,47.16,ancient trees in silent forest,26.12,snow-dusted branches in winter forest,12.92
공원_인천대공원 수목원길_1093.jpg,trail winding through pine forest,62.65,ancient trees in silent forest,23.4,snow-dusted branches in winter forest,4.71
공원_인천대공원 수목원길_1094.jpg,Garden pathway with stone arch,50.97,Penguins playing by the waterfall,12.5,Panoramic view of the zoo gardens,10.57
국수_국수골목 계양점_1361.jpg,Seasonal produce in abundance,61.68,Artisanal crafts from local vendors,16.99,Handcrafted goods on display,5.54
국수_국수골목 계양점_1362.jpg,Baskets overflowing with spices,95.13,Seasonal produce in abundance,1.93,Artisanal crafts from local vendors,0.88
국수_국수골목 계양점_1363.jpg,Traditional festival decorations up close,68.48,Cultural symbols adorning festival entrance,6.47,Cozy outdoor seating with lanterns,5.68
국수_국수골목 연수점_1379.jpg,Baskets overflowing with spices,86.31,Artisanal crafts from local vendors,4.21,Seasonal produce in abundance,3.3
국수_국수골목 연수점_1380.jpg,quaint bakery facade with flowers,22.62,early morning light on bakery sign,12.43,historic bar with vintage signage,6.63
국수_국수골목 연수점_1381.jpg,golden sands meeting the waves,22.73,Cozy outdoor seating with lanterns,16.7,crystal-clear turquoise waters,16.23
냉면_개롱골목냉면_393.jpg,Baskets overflowing with spices,63.04,Seasonal produce in abundance,27.41,Artisanal crafts from local vendors,3.52
